[2.193s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 1.38ms
[2.193s][info][gc,phases   ] GC(11)   Other: 0.09ms
[2.193s][info][gc,heap     ] GC(11) Eden regions: 6->0(5)
[2.193s][info][gc,heap     ] GC(11) Survivor regions: 1->1(1)
[2.193s][info][gc,heap     ] GC(11) Old regions: 4->6
[2.193s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[2.193s][info][gc,metaspace] GC(11) Metaspace: 61972K(63296K)->61972K(63296K) NonClass: 55062K(55872K)->55062K(55872K) Class: 6910K(7424K)->6910K(7424K)
[2.193s][info][gc          ] GC(11) Pause Young (Prepare Mixed) (Metadata GC Threshold) 150M->86M(272M) 10.041ms
[2.193s][info][gc,cpu      ] GC(11) User=0.05s Sys=0.01s Real=0.01s
[2.202s][info][gc,start    ] GC(12) Pause Young (Mixed) (Metadata GC Threshold)
[2.202s][info][gc,task     ] GC(12) Using 8 workers of 8 for evacuation
[2.205s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.12ms
[2.205s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.13ms
[2.205s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 2.19ms
[2.205s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.35ms
[2.205s][info][gc,phases   ] GC(12)   Other: 0.09ms
[2.205s][info][gc,heap     ] GC(12) Eden regions: 1->0(5)
[2.205s][info][gc,heap     ] GC(12) Survivor regions: 1->1(1)
[2.205s][info][gc,heap     ] GC(12) Old regions: 6->5
[2.205s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[2.205s][info][gc,metaspace] GC(12) Metaspace: 62304K(63616K)->62304K(63616K) NonClass: 55357K(56192K)->55357K(56192K) Class: 6946K(7424K)->6946K(7424K)
[2.205s][info][gc          ] GC(12) Pause Young (Mixed) (Metadata GC Threshold) 97M->89M(272M) 3.348ms
[2.206s][info][gc,cpu      ] GC(12) User=0.02s Sys=0.01s Real=0.00s
[2.236s][info][gc,start    ] GC(13) Pause Young (Concurrent Start) (Metadata GC Threshold)
[2.236s][info][gc,task     ] GC(13) Using 8 workers of 8 for evacuation
[2.238s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.20ms
[2.238s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.06ms
[2.238s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 0.86ms
[2.238s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.38ms
[2.238s][info][gc,phases   ] GC(13)   Other: 0.14ms
[2.238s][info][gc,heap     ] GC(13) Eden regions: 1->0(5)
[2.238s][info][gc,heap     ] GC(13) Survivor regions: 1->1(1)
[2.238s][info][gc,heap     ] GC(13) Old regions: 5->6
[2.238s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[2.238s][info][gc,metaspace] GC(13) Metaspace: 62641K(63936K)->62641K(63936K) NonClass: 55651K(56448K)->55651K(56448K) Class: 6990K(7488K)->6990K(7488K)
[2.238s][info][gc          ] GC(13) Pause Young (Concurrent Start) (Metadata GC Threshold) 97M->89M(272M) 2.206ms
[2.238s][info][gc,cpu      ] GC(13) User=0.00s Sys=0.00s Real=0.00s
[2.238s][info][gc          ] GC(14) Concurrent Mark Cycle
[2.239s][info][gc,marking  ] GC(14) Concurrent Scan Root Regions
[2.240s][info][gc,marking  ] GC(14) Concurrent Scan Root Regions 1.021ms
[2.240s][info][gc,marking  ] GC(14) Concurrent Mark
[2.240s][info][gc,marking  ] GC(14) Concurrent Mark From Roots
[2.240s][info][gc,task     ] GC(14) Using 2 workers of 2 for marking
[2.262s][info][gc,marking  ] GC(14) Concurrent Mark From Roots 22.067ms
[2.262s][info][gc,marking  ] GC(14) Concurrent Preclean
[2.262s][info][gc,marking  ] GC(14) Concurrent Preclean 0.390ms
[2.272s][info][gc,start    ] GC(14) Pause Remark
[2.278s][info][gc          ] GC(14) Pause Remark 113M->113M(272M) 5.883ms
[2.278s][info][gc,cpu      ] GC(14) User=0.04s Sys=0.00s Real=0.00s
[2.278s][info][gc,marking  ] GC(14) Concurrent Mark 38.628ms
[2.278s][info][gc,marking  ] GC(14) Concurrent Rebuild Remembered Sets and Scrub Regions
[2.287s][info][gc,marking  ] GC(14) Concurrent Rebuild Remembered Sets and Scrub Regions 8.301ms
[2.288s][info][gc,start    ] GC(14) Pause Cleanup
[2.288s][info][gc          ] GC(14) Pause Cleanup 114M->114M(272M) 0.182ms
[2.288s][info][gc,cpu      ] GC(14) User=0.00s Sys=0.00s Real=0.00s
[2.288s][info][gc,marking  ] GC(14) Concurrent Clear Claimed Marks
[2.289s][info][gc,marking  ] GC(14) Concurrent Clear Claimed Marks 0.168ms
[2.289s][info][gc,marking  ] GC(14) Concurrent Cleanup for Next Mark
[2.289s][info][gc,marking  ] GC(14) Concurrent Cleanup for Next Mark 0.239ms
[2.289s][info][gc          ] GC(14) Concurrent Mark Cycle 50.771ms
[2.492s][info][gc,start    ] GC(15) Pause Young (Prepare Mixed) (G1 Evacuation Pause)
[2.492s][info][gc,task     ] GC(15) Using 8 workers of 8 for evacuation
[2.500s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.08ms
[2.500s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.09ms
[2.500s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 6.52ms
[2.500s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.81ms
[2.500s][info][gc,phases   ] GC(15)   Other: 0.07ms
[2.500s][info][gc,heap     ] GC(15) Eden regions: 5->0(5)
[2.500s][info][gc,heap     ] GC(15) Survivor regions: 1->1(1)
[2.500s][info][gc,heap     ] GC(15) Old regions: 6->6
[2.500s][info][gc,heap     ] GC(15) Humongous regions: 0->0
[2.500s][info][gc,metaspace] GC(15) Metaspace: 73997K(75520K)->73997K(75520K) NonClass: 65631K(66560K)->65631K(66560K) Class: 8365K(8960K)->8365K(8960K)
[2.500s][info][gc          ] GC(15) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 169M->104M(272M) 8.246ms
[2.500s][info][gc,cpu      ] GC(15) User=0.02s Sys=0.03s Real=0.01s
[2.968s][info][gc,start    ] GC(16) Pause Young (Mixed) (G1 Evacuation Pause)
[2.968s][info][gc,task     ] GC(16) Using 8 workers of 8 for evacuation
[2.985s][info][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.12ms
[2.985s][info][gc,phases   ] GC(16)   Merge Heap Roots: 0.16ms
[2.985s][info][gc,phases   ] GC(16)   Evacuate Collection Set: 15.47ms
[2.986s][info][gc,phases   ] GC(16)   Post Evacuate Collection Set: 1.39ms
[2.986s][info][gc,phases   ] GC(16)   Other: 0.10ms
[2.986s][info][gc,heap     ] GC(16) Eden regions: 5->0(13)
[2.986s][info][gc,heap     ] GC(16) Survivor regions: 1->1(1)
[2.986s][info][gc,heap     ] GC(16) Old regions: 6->7
[2.986s][info][gc,heap     ] GC(16) Humongous regions: 0->0
[2.986s][info][gc,metaspace] GC(16) Metaspace: 82121K(83968K)->82121K(83968K) NonClass: 72679K(73856K)->72679K(73856K) Class: 9441K(10112K)->9441K(10112K)
[2.986s][info][gc          ] GC(16) Pause Young (Mixed) (G1 Evacuation Pause) 184M->108M(512M) 17.925ms
[2.986s][info][gc,cpu      ] GC(16) User=0.09s Sys=0.03s Real=0.02s
[14.239s][info][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[14.240s][info][gc,task     ] GC(17) Using 8 workers of 8 for evacuation
[14.252s][info][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.23ms
[14.252s][info][gc,phases   ] GC(17)   Merge Heap Roots: 0.08ms
[14.252s][info][gc,phases   ] GC(17)   Evacuate Collection Set: 11.26ms
[14.253s][info][gc,phases   ] GC(17)   Post Evacuate Collection Set: 1.09ms
[14.253s][info][gc,phases   ] GC(17)   Other: 0.12ms
[14.253s][info][gc,heap     ] GC(17) Eden regions: 13->0(15)
[14.253s][info][gc,heap     ] GC(17) Survivor regions: 1->2(2)
[14.253s][info][gc,heap     ] GC(17) Old regions: 7->7
[14.253s][info][gc,heap     ] GC(17) Humongous regions: 0->0
[14.253s][info][gc,metaspace] GC(17) Metaspace: 94969K(96832K)->94969K(96832K) NonClass: 84121K(85248K)->84121K(85248K) Class: 10847K(11584K)->10847K(11584K)
[14.253s][info][gc          ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 316M->123M(512M) 13.549ms
[14.253s][info][gc,cpu      ] GC(17) User=0.05s Sys=0.05s Real=0.01s
[14.750s][info][gc,start    ] GC(18) Pause Young (Concurrent Start) (Metadata GC Threshold)
[14.750s][info][gc,task     ] GC(18) Using 8 workers of 8 for evacuation
[14.761s][info][gc,phases   ] GC(18)   Pre Evacuate Collection Set: 0.10ms
[14.761s][info][gc,phases   ] GC(18)   Merge Heap Roots: 0.07ms
[14.762s][info][gc,phases   ] GC(18)   Evacuate Collection Set: 10.25ms
[14.762s][info][gc,phases   ] GC(18)   Post Evacuate Collection Set: 0.96ms
[14.762s][info][gc,phases   ] GC(18)   Other: 0.11ms
[14.762s][info][gc,heap     ] GC(18) Eden regions: 12->0(15)
[14.762s][info][gc,heap     ] GC(18) Survivor regions: 2->3(3)
[14.762s][info][gc,heap     ] GC(18) Old regions: 7->7
[14.762s][info][gc,heap     ] GC(18) Humongous regions: 0->0
[14.762s][info][gc,metaspace] GC(18) Metaspace: 105706K(107648K)->105706K(107648K) NonClass: 93599K(94784K)->93599K(94784K) Class: 12106K(12864K)->12106K(12864K)
[14.762s][info][gc          ] GC(18) Pause Young (Concurrent Start) (Metadata GC Threshold) 302M->143M(512M) 12.144ms
[14.762s][info][gc,cpu      ] GC(18) User=0.06s Sys=0.02s Real=0.01s
[14.762s][info][gc          ] GC(19) Concurrent Mark Cycle
[14.762s][info][gc,marking  ] GC(19) Concurrent Scan Root Regions
[14.769s][info][gc,marking  ] GC(19) Concurrent Scan Root Regions 6.973ms
[14.769s][info][gc,marking  ] GC(19) Concurrent Mark
[14.769s][info][gc,marking  ] GC(19) Concurrent Mark From Roots
[14.770s][info][gc,task     ] GC(19) Using 2 workers of 2 for marking
[14.794s][info][gc,marking  ] GC(19) Concurrent Mark From Roots 24.074ms
[14.794s][info][gc,marking  ] GC(19) Concurrent Preclean
[14.794s][info][gc,marking  ] GC(19) Concurrent Preclean 0.254ms
[14.795s][info][gc,start    ] GC(19) Pause Remark
[14.805s][info][gc          ] GC(19) Pause Remark 147M->147M(512M) 9.573ms
[14.805s][info][gc,cpu      ] GC(19) User=0.06s Sys=0.01s Real=0.01s
[14.805s][info][gc,marking  ] GC(19) Concurrent Mark 35.446ms
[14.806s][info][gc,marking  ] GC(19) Concurrent Rebuild Remembered Sets and Scrub Regions
[14.819s][info][gc,marking  ] GC(19) Concurrent Rebuild Remembered Sets and Scrub Regions 13.572ms
[14.820s][info][gc,start    ] GC(19) Pause Cleanup
[14.820s][info][gc          ] GC(19) Pause Cleanup 149M->149M(512M) 0.156ms
[14.820s][info][gc,cpu      ] GC(19) User=0.00s Sys=0.00s Real=0.00s
[14.820s][info][gc,marking  ] GC(19) Concurrent Clear Claimed Marks
[14.820s][info][gc,marking  ] GC(19) Concurrent Clear Claimed Marks 0.217ms
[14.820s][info][gc,marking  ] GC(19) Concurrent Cleanup for Next Mark
[14.822s][info][gc,marking  ] GC(19) Concurrent Cleanup for Next Mark 1.592ms
[14.822s][info][gc          ] GC(19) Concurrent Mark Cycle 60.148ms
[15.565s][info][gc,start    ] GC(20) Pause Young (Prepare Mixed) (G1 Evacuation Pause)
[15.565s][info][gc,task     ] GC(20) Using 8 workers of 8 for evacuation
[15.592s][info][gc,phases   ] GC(20)   Pre Evacuate Collection Set: 0.09ms
[15.592s][info][gc,phases   ] GC(20)   Merge Heap Roots: 0.10ms
[15.592s][info][gc,phases   ] GC(20)   Evacuate Collection Set: 24.40ms
[15.592s][info][gc,phases   ] GC(20)   Post Evacuate Collection Set: 1.74ms
[15.592s][info][gc,phases   ] GC(20)   Other: 0.09ms
[15.592s][info][gc,heap     ] GC(20) Eden regions: 15->0(12)
[15.592s][info][gc,heap     ] GC(20) Survivor regions: 3->3(3)
[15.593s][info][gc,heap     ] GC(20) Old regions: 7->10
[15.593s][info][gc,heap     ] GC(20) Humongous regions: 4->1
[15.593s][info][gc,metaspace] GC(20) Metaspace: 157029K(160128K)->157029K(160128K) NonClass: 138182K(140096K)->138182K(140096K) Class: 18847K(20032K)->18847K(20032K)
[15.593s][info][gc          ] GC(20) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 447M->223M(560M) 27.824ms
[15.593s][info][gc,cpu      ] GC(20) User=0.15s Sys=0.03s Real=0.03s
[15.831s][info][gc,start    ] GC(21) Pause Young (Mixed) (G1 Evacuation Pause)
[15.831s][info][gc,task     ] GC(21) Using 8 workers of 8 for evacuation
[15.848s][info][gc,phases   ] GC(21)   Pre Evacuate Collection Set: 0.12ms
[15.848s][info][gc,phases   ] GC(21)   Merge Heap Roots: 0.21ms
[15.848s][info][gc,phases   ] GC(21)   Evacuate Collection Set: 15.11ms
[15.848s][info][gc,phases   ] GC(21)   Post Evacuate Collection Set: 1.30ms
[15.848s][info][gc,phases   ] GC(21)   Other: 0.10ms
[15.848s][info][gc,heap     ] GC(21) Eden regions: 12->0(11)
[15.848s][info][gc,heap     ] GC(21) Survivor regions: 3->2(2)
[15.848s][info][gc,heap     ] GC(21) Old regions: 10->14
[15.848s][info][gc,heap     ] GC(21) Humongous regions: 1->1
[15.849s][info][gc,metaspace] GC(21) Metaspace: 173007K(176192K)->173007K(176192K) NonClass: 151279K(153280K)->151279K(153280K) Class: 21728K(22912K)->21728K(22912K)
[15.849s][info][gc          ] GC(21) Pause Young (Mixed) (G1 Evacuation Pause) 414M->257M(560M) 17.507ms
[15.849s][info][gc,cpu      ] GC(21) User=0.10s Sys=0.01s Real=0.01s
[15.993s][info][gc,start    ] GC(22) Pause Young (Concurrent Start) (Metadata GC Threshold)
[15.993s][info][gc,task     ] GC(22) Using 8 workers of 8 for evacuation
[15.999s][info][gc,phases   ] GC(22)   Pre Evacuate Collection Set: 0.13ms
